engine,workload,durability,threads,n,qps_mean,qps_std,p50_mean,p50_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,failures_total
redline,point-read-pk,strict,1,5,2437.5539476120985,2642.792465521586,92.4,81.70862867531189,1344.2,1390.5343217626812,2053.8,2777.750294752932,28770.0,45117.343915616315,0
redline,point-read-pk,strict,2,5,862.193418035264,272.0534824687599,276.0,214.54952808151316,2319.0,1879.8767246817008,6185.4,3704.0524834294665,137348.6,119687.24147878085,0
redline,point-read-pk,strict,4,5,14716.11470854675,28481.386182346974,136.6,76.28761367351845,1372.8,1434.4797663264546,4362.4,2676.885839926686,137906.2,103386.48478016844,0
redline,point-read-pk,strict,8,5,5074.642420773044,2323.379061803872,129.8,70.37186937974576,1521.2,1315.2430193694245,4706.2,2999.933865937714,272671.0,161340.40456128775,0
redline,point-read-pk,strict,16,5,15598.6219972239,5147.473242760132,115.2,49.539882922752255,981.6,18.52835664596297,2335.8,921.2343350092854,86565.4,12139.148438008326,0
redline,point-read-pk,strict,32,5,39745.93704888092,21430.485452829955,103.2,16.798809481626964,840.8,238.56592380304443,1233.0,699.4515708753537,19227.0,17914.41475460474,0
redline,point-read-pk,strict,64,5,122049.28595984711,899.9680186201412,86.0,0.0,581.4,0.54772255750517,591.0,1.0000000000000107,7604.2,6295.611900363618,0
redline,point-read-pk,strict,128,5,52478.07711663507,13392.649845934176,382.8,305.3329330419501,3071.0,1254.5732342115386,6697.4,2109.8238789055354,696523.8,775891.6442617486,0
redline,secondary-index-range,normal,1,5,77.99963882394384,20.736824460439255,11939.8,2481.2164758440563,16899.8,3610.9770422975553,19557.4,4244.037323115809,20376.6,4276.18671248111,0
redline,secondary-index-range,normal,2,5,77.8465209516544,9.454439249818886,22229.4,2411.82685945737,39333.4,7542.685781603262,45160.6,9317.356534983513,45810.2,9449.475921975778,0
redline,secondary-index-range,normal,4,5,115.58029659175847,19.732325584111194,33192.6,8059.28115901164,48978.2,9912.7870551122,55999.0,7887.107454574205,64389.4,12355.986921326845,0
redline,secondary-index-range,normal,8,5,195.82658903552294,30.049379783376843,40095.0,5628.135037470228,56587.8,10128.634419308459,64018.2,8701.517292978277,73439.0,9803.914320311045,0
redline,secondary-index-range,normal,16,5,517.3904733794069,157.4331597227076,32581.4,12911.735313272186,42386.2,17132.116833596483,47368.6,22182.306751102333,54149.4,24697.205283189433,0
