Filename                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
jankurai/src/main.rs                                      1379               363    73.68%          30                 3    90.00%        1129               216    80.87%           0                 0         -
jankurai/src/render.rs                                     680                69    89.85%          13                 1    92.31%         457                39    91.47%           0                 0         -
jankurai/src/report/github.rs                              101                22    78.22%           5                 1    80.00%         100                13    87.00%           0                 0         -
jankurai/src/report/issues.rs                              140               109    22.14%          15                10    33.33%         108                80    25.93%           0                 0         -
jankurai/src/report/junit.rs                                44                 0   100.00%           2                 0   100.00%          39                 0   100.00%           0                 0         -
jankurai/src/report/proof.rs                                52                14    73.08%           1                 0   100.00%          36                10    72.22%           0                 0         -
jankurai/src/report/sarif.rs                               196                 9    95.41%          13                 2    84.62%         127                 5    96.06%           0                 0         -
jankurai/src/score_history_impl.rs                        1316               322    75.53%         103                31    69.90%         831               177    78.70%           0                 0         -
jankurai/src/ui.rs                                         186               116    37.63%          11                 2    81.82%         121                67    44.63%           0                 0         -
jankurai/src/validation.rs                                1094               241    77.97%          67                23    65.67%         706               144    79.60%           0                 0         -
jankurai/src/versions.rs                                   231                71    69.26%          21                10    52.38%         142                44    69.01%           0                 0         -
tuiwright-cli/src/main.rs                                  113               113     0.00%           3                 3     0.00%          49                49     0.00%           0                 0         -
tuiwright/src/config.rs                                    105                54    48.57%          14                10    28.57%          76                42    44.74%           0                 0         -
tuiwright/src/expect.rs                                    123               109    11.38%           8                 6    25.00%          95                82    13.68%           0                 0         -
tuiwright/src/input.rs                                     237               116    51.05%          15                 3    80.00%         140                70    50.00%           0                 0         -
tuiwright/src/locator.rs                                    74                64    13.51%           4                 2    50.00%          50                43    14.00%           0                 0         -
tuiwright/src/record.rs                                    134                22    83.58%          10                 5    50.00%          90                12    86.67%           0                 0         -
tuiwright/src/render.rs                                    340                72    78.82%          15                 6    60.00%         224                53    76.34%           0                 0         -
tuiwright/src/screen.rs                                    282                75    73.40%          15                 5    66.67%         186                62    66.67%           0                 0         -
tuiwright/src/session.rs                                   136                27    80.15%           5                 0   100.00%          86                13    84.88%           0                 0         -
tuiwright/src/session/actions.rs                           375               239    36.27%          26                14    46.15%         198               118    40.40%           0                 0         -
tuiwright/src/session/runtime.rs                            30                10    66.67%           1                 0   100.00%          22                 6    72.73%           0                 0         -
tuiwright/src/trace.rs                                      50                50     0.00%           5                 5     0.00%          33                33     0.00%           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                    77382             16641    78.49%        4471               919    79.45%       53482             10674    80.04%           0                 0         -
